date	rating
25-May-1958	1510
1-Jun-1958	1507
4-Jun-1958	1492
8-Jun-1958	1499
11-Jun-1958	1517
15-Jun-1958	1507
22-Jun-1958	1521
25-Jun-1958	1522
29-Jun-1958	1523
2-Jul-1958	1520
6-Jul-1958	1505
27-Jul-1958	1502
30-Jul-1958	1494
3-Aug-1958	1497
10-Aug-1958	1506
13-Aug-1958	1503
24-Aug-1958	1494
3-Sep-1958	1491
14-Sep-1958	1481
28-Sep-1958	1494
5-Oct-1958	1486
8-Oct-1958	1503
12-Oct-1958	1504
16-Oct-1958	1494
22-Oct-1958	1481
25-Oct-1958	1488
1-Nov-1958	1508
5-Nov-1958	1506
6-Nov-1958	1515
9-Nov-1958	1533
12-Nov-1958	1543
16-Nov-1958	1533
19-Nov-1958	1530
22-Nov-1958	1522
30-Nov-1958	1519
4-Dec-1958	1498
7-Dec-1958	1515
14-Dec-1958	1524
24-May-1959	1539
31-May-1959	1550
7-Jun-1959	1558
13-Jun-1959	1568
21-Jun-1959	1587
28-Jun-1959	1573
5-Jul-1959	1584
19-Jul-1959	1578
26-Jul-1959	1588
2-Aug-1959	1594
9-Aug-1959	1601
13-Aug-1959	1607
19-Aug-1959	1614
23-Aug-1959	1627
30-Aug-1959	1620
7-Sep-1959	1628
17-Sep-1959	1643
20-Sep-1959	1649
27-Sep-1959	1667
8-Oct-1959	1677
11-Oct-1959	1685
22-Oct-1959	1694
25-Oct-1959	1681
31-Oct-1959	1664
8-Nov-1959	1667
12-Nov-1959	1662
15-Nov-1959	1649
19-Nov-1959	1659
22-Nov-1959	1667
26-Nov-1959	1663
29-Nov-1959	1657
2-Dec-1959	1668
6-Dec-1959	1660
12-Dec-1959	1638
20-Dec-1959	1644
23-Dec-1959	1653
27-Dec-1959	1647
30-Dec-1959	1644
29-Jun-1960	1626
3-Jul-1960	1631
6-Jul-1960	1640
10-Jul-1960	1647
17-Jul-1960	1658
20-Jul-1960	1649
31-Jul-1960	1627
7-Aug-1960	1632
14-Aug-1960	1619
17-Aug-1960	1635
